index,Date,HomeTeamId,AwayTeamId,HTR,FTR
6030,09/12/17,68.0,345.0,A,H
6031,09/12/17,69.0,341.0,D,A
6032,09/12/17,76.0,71.0,D,D
6033,11/12/17,355.0,715.0,H,D
6034,15/12/17,345.0,76.0,A,A
6035,16/12/17,332.0,69.0,A,A
6036,16/12/17,402.0,357.0,D,D
6037,16/12/17,387.0,351.0,H,H
6038,16/12/17,715.0,322.0,D,H
6039,16/12/17,342.0,58.0,H,H
6040,16/12/17,349.0,355.0,H,H
6041,16/12/17,341.0,68.0,H,H
6042,16/12/17,384.0,343.0,H,H
6043,16/12/17,1081.0,356.0,D,H
6044,16/12/17,71.0,63.0,D,H
6045,22/12/17,68.0,402.0,A,A
6046,23/12/17,58.0,356.0,D,D
6047,23/12/17,342.0,384.0,H,H
6048,23/12/17,63.0,357.0,D,H
6049,23/12/17,341.0,322.0,H,H
6050,23/12/17,1081.0,351.0,D,D
6051,23/12/17,69.0,387.0,H,D
6052,23/12/17,345.0,343.0,H,A
6053,23/12/17,71.0,332.0,D,D
6054,23/12/17,76.0,349.0,H,H
6055,26/12/17,357.0,1081.0,D,D
6056,26/12/17,332.0,68.0,A,A
6057,26/12/17,402.0,58.0,D,H
6058,26/12/17,387.0,355.0,D,H
6059,26/12/17,715.0,63.0,A,A
6060,26/12/17,322.0,342.0,D,D
6061,26/12/17,349.0,69.0,D,D
6062,26/12/17,384.0,76.0,D,D
6063,26/12/17,351.0,345.0,A,A
6064,26/12/17,356.0,71.0,H,H
6065,29/12/17,715.0,1081.0,D,A
6066,29/12/17,384.0,69.0,D,H
6067,30/12/17,357.0,355.0,D,D
6068,30/12/17,332.0,341.0,D,H
6069,30/12/17,402.0,345.0,H,H
6070,30/12/17,387.0,76.0,D,A
6071,30/12/17,322.0,63.0,H,D
6072,30/12/17,349.0,342.0,A,A
6073,30/12/17,343.0,58.0,D,A
6074,30/12/17,351.0,71.0,A,A
6075,01/01/18,58.0,387.0,H,H
6076,01/01/18,342.0,356.0,H,D
6077,01/01/18,341.0,351.0,D,D
6078,01/01/18,68.0,384.0,A,H
6079,01/01/18,1081.0,343.0,H,A
6080,01/01/18,69.0,715.0,D,H
6081,01/01/18,71.0,357.0,D,A
6082,02/01/18,63.0,349.0,A,H
6083,02/01/18,355.0,332.0,A,A
6084,02/01/18,76.0,402.0,D,H
6085,12/01/18,356.0,345.0,D,D
